gene,importance,sex,infection
IFNy,0.9626843372927026,F,TRUE
CXCR3,0.043434655562333224,F,TRUE
IL.6,0.3203775908829766,F,TRUE
IL.13,-0.37846092330391845,F,TRUE
IL1RN,1.6502731983881014,F,TRUE
CASP1,-0.002343042299794975,F,TRUE
CXCL9,2.184299453520421,F,TRUE
IDO1,-1.1025334350555618,F,TRUE
IRGM1,-1.1451979825973173,F,TRUE
MPO,-1.3063433432375056,F,TRUE
MUC2,-0.8301525853818609,F,TRUE
MUC5AC,1.7140946770110284,F,TRUE
MYD88,-0.12274991398751033,F,TRUE
NCR1,-0.7731085813945674,F,TRUE
PRF1,0.20396045491340037,F,TRUE
RETNLB,-0.3764212809267167,F,TRUE
SOCS1,-0.5313686505922908,F,TRUE
TICAM1,-0.23105365995502436,F,TRUE
TNF,0.05361525106003583,F,TRUE
IFNy,0.32782476223715756,M,TRUE
CXCR3,-0.3067035645546994,M,TRUE
IL.6,0.12071868003055453,M,TRUE
IL.13,-0.6398707635626675,M,TRUE
IL1RN,0.844645787374413,M,TRUE
CASP1,-0.18141632153930512,M,TRUE
CXCL9,0.8391981378053892,M,TRUE
IDO1,-0.47905363245215354,M,TRUE
IRGM1,1.0934437337311267,M,TRUE
MPO,-0.029645344794975263,M,TRUE
MUC2,0.441813167131743,M,TRUE
MUC5AC,-1.777164324987557,M,TRUE
MYD88,-0.31704887310325774,M,TRUE
NCR1,-0.03118968822481918,M,TRUE
PRF1,0.15918578921664772,M,TRUE
RETNLB,-0.032676507579250405,M,TRUE
SOCS1,-0.9217708934218871,M,TRUE
TICAM1,0.18889038596638832,M,TRUE
TNF,0.34489404728113865,M,TRUE
IFNy,0.24065710009434266,F,FALSE
CXCR3,0.21948847313996972,F,FALSE
IL.6,0.019275875512403583,F,FALSE
IL.13,-0.2324650260387587,F,FALSE
IL1RN,-0.2334549357293348,F,FALSE
CASP1,-0.7579762346830405,F,FALSE
CXCL9,0.5507021563240929,F,FALSE
IDO1,0.6320668339130341,F,FALSE
IRGM1,2.4712120666676656,F,FALSE
MPO,-0.05721586729076663,F,FALSE
MUC2,-2.606443798705746,F,FALSE
MUC5AC,1.8552003668589143,F,FALSE
MYD88,0.43894634511543296,F,FALSE
NCR1,0.045995893145141596,F,FALSE
PRF1,0.22868537299126943,F,FALSE
RETNLB,-0.7848221452613169,F,FALSE
SOCS1,-2.354098254592032,F,FALSE
TICAM1,0.04357306206395939,F,FALSE
TNF,-0.025534459708308626,F,FALSE
IFNy,0.9316132913592663,M,FALSE
CXCR3,-0.6949992584261245,M,FALSE
IL.6,0.18327642122137897,M,FALSE
IL.13,0.1839467977435898,M,FALSE
IL1RN,0.4965281240183191,M,FALSE
CASP1,-0.2982859895858991,M,FALSE
CXCL9,0.4899409809765768,M,FALSE
IDO1,-0.2779111728207954,M,FALSE
IRGM1,1.4264362832025392,M,FALSE
MPO,-0.22276103499709693,M,FALSE
MUC2,-0.8212844403248551,M,FALSE
MUC5AC,0.1151487539861733,M,FALSE
MYD88,0.32914523938928325,M,FALSE
NCR1,0.04465737860577266,M,FALSE
PRF1,0.5720484211128233,M,FALSE
RETNLB,-0.370581944764972,M,FALSE
SOCS1,-1.6984324646629074,M,FALSE
TICAM1,-0.08969929210069509,M,FALSE
TNF,0.8320138350893888,M,FALSE
