"Pathway","Linear_coef","Linear_interaction_p","Nonlinear_coef","Nonlinear_interaction_p","Overall_interaction_p","Overall_padj"
"IFNy",1.94037113577295,0.332430450241665,8.89033410529136,0.0709275192702205,0.0709275192702205,0.722238731329863
"CXCR3",0.924154352621919,0.676740574880348,8.79462043424738,0.106564262820593,0.106564262820593,0.722238731329863
"IL.6",-1.12588895225987,0.535241572935885,2.20225261909594,0.623548680935878,0.535241572935885,0.741134463619167
"IL.13",2.82730947210047,0.117184340637215,-3.52847757317708,0.430286742819543,0.117184340637215,0.722238731329863
"IL1RN",2.21380796546705,0.278082703062305,0.00278450960906063,0.999560355475442,0.278082703062305,0.722238731329863
"CASP1",1.4745924319215,0.562784877370825,1.6822537354928,0.789367347373451,0.562784877370825,0.741134463619167
"CXCL9",0.481057911406603,0.807415926656676,-2.95624021519133,0.543988857483758,0.543988857483758,0.741134463619167
"IDO1",1.86576678081031,0.314650109939919,4.30409800831451,0.347834380721028,0.314650109939919,0.722238731329863
"IRGM1",0.158947913788993,0.937417487806044,-1.14184485790256,0.819366089020698,0.819366089020698,0.819366089020698
"MPO",0.812995484682811,0.683680254787932,-1.38639078115324,0.778532754569863,0.683680254787932,0.764113225939453
"MUC2",2.77724539702549,0.190480127066546,-0.674285028276338,0.89795342063654,0.190480127066546,0.722238731329863
"MUC5AC",2.0041918851125,0.342113083261514,-0.779846953414669,0.881248021207903,0.342113083261514,0.722238731329863
"MYD88",-0.885505389943857,0.661738540198418,-2.15792570195212,0.666016347808386,0.661738540198418,0.764113225939453
"NCR1",-2.06630418844775,0.246195732383698,1.99939930768794,0.650375613841472,0.246195732383698,0.722238731329863
"PRF1",-0.222680963156764,0.900800282272513,-1.12353901053026,0.799008113955914,0.799008113955914,0.819366089020698
"RETNLB",1.16555862638419,0.570522820676131,-1.18597708013722,0.815332796919852,0.570522820676131,0.741134463619167
"SOCS1",0.401522002095321,0.842188100184751,-4.81762961434577,0.332659465518268,0.332659465518268,0.722238731329863
"TICAM1",1.14622740291642,0.585106155488816,-1.50854309779976,0.771241628979445,0.585106155488816,0.741134463619167
"TNF",1.81081794267594,0.386936692853161,2.76728377606205,0.592810774255503,0.386936692853161,0.735179716421007
