Mouse_ID,HI,Sex,infection_status,predicted_weight_loss,IFNy,CXCR3,IL.6,IL.13,IL1RN,CASP1,CXCL9,IDO1,IRGM1,MPO,MUC2,MUC5AC,MYD88,NCR1,PRF1,RETNLB,SOCS1,TICAM1,TNF,hybrid_category,group,UMAP1,UMAP2
AA0053,0.608695652,F,TRUE,13.0867734493766,-14.7074024738293,-15.1284691540499,-22.9980192856398,-17.4033050436892,-14.3255117675666,-17.1684919334093,-14.0703778326231,-15.4694071987774,-15.5859274858908,-13.8532645868313,-15.5140880112159,-14.48211421808,-15.5317727022049,-18.8361232814159,-13.2796619287004,-16.8780009933052,-15.6285040916821,-15.9502725925381,-13.2762303393965,Hybrid,F_TRUE,1.1393457531236664,0.7172716413317888
AA0061,0,M,FALSE,8.76744653366401,-20.9493226905188,-26.8804364835204,-19.8236578633306,-15.7614414792881,-23.5260150150618,-22.8494975602821,-23.16705304625,-27.4960256670535,-16.4148520114528,-26.7074481204718,-16.5742625429133,-23.2545811921739,-18.1976849620792,-24.3730003181445,-13.6918538832398,-20.539449386933,-15.302211956944,-15.5286832229065,-26.4853093883089,M.m.domesticus,M_FALSE,-0.2560275116727612,-3.6315850290080256
AA0065,0,M,TRUE,9.81421393588915,-25.727574560736,-25.7452535509764,-18.3521456091543,-27.2251518424708,-26.3004241214537,-19.8904545899415,-28.9064727243877,-28.9064727243877,-17.3142544171549,-22.4025910399661,-26.1132618001056,-23.6226429426985,-18.0835747815589,-17.5871285462708,-16.7207354599552,-25.7564083606861,-15.5657152230908,-26.8495218183452,-25.067586343147,M.m.domesticus,M_TRUE,-0.6601438839912952,-5.034950619578005
AA0067,0.1,M,TRUE,8.9670923126738,-17.8968137146488,-13.8213948630958,-18.8976801809098,-19.5980441634982,-17.1966695545808,-12.0679081383327,-17.2523629119252,-18.4665894516406,-13.8990767636508,-13.3464375854741,-13.630569416913,-13.1546872056893,-12.4491338161383,-20.1554304602182,-19.6153717583014,-15.4679350739596,-14.1163120039259,-21.4004754980542,-14.2456308888853,Hybrid,M_TRUE,2.367130370362179,2.2294977421432614
AA0078,0,F,FALSE,9.66878239655832,-16.6825088282332,-14.0000032293799,-17.7168458395346,-16.269367530382,-14.6794373199336,-12.6948604247413,-15.5991272819703,-15.5319495518622,-16.4788298542362,-14.6645599526484,-16.0890837652189,-15.2140362865104,-13.756072492305,-26.4551506894109,-20.1296126767347,-15.8938208260774,-16.6838664860072,-13.1135839713469,-13.5766534030611,M.m.domesticus,F_FALSE,1.1197972586981895,0.6212148218513751
AA0079,0.1,M,TRUE,12.7563694582791,-19.3798255521405,-22.3525036885095,-19.7645014953264,-18.2244301085528,-18.5924680095081,-27.9809111399681,-18.181560453518,-17.0707195068311,-26.3676389861877,-20.3568437840065,-27.0713618384996,-24.7658501569267,-21.2715124300284,-16.3704033667996,-17.4445853022224,-25.1444017951344,-27.0760441790667,-20.7718032005024,-18.2399727651036,Hybrid,M_TRUE,-0.9260439426631366,-4.322073111431317
AA0082,0,F,TRUE,15.2571249521674,-14.1895907167107,-13.9385148380813,-13.9715791829763,-16.9961636895727,-13.5707962502345,-16.2445413550358,-12.7597503655282,-14.0301475071284,-15.0229424554453,-13.9287723602095,-14.9548893708508,-14.2208651340042,-12.9893102449714,-19.2940036477112,-17.7387218744632,-14.293149006443,-15.047612967975,-14.9243978730625,-15.009301223929,M.m.domesticus,F_TRUE,1.1877523637108414,1.6602275266070419
AA0086,0.117647059,M,FALSE,9.46485838555331,-15.322447224361,-15.1709567700031,-15.3120934469053,-14.6998877116351,-14.7626931213857,-14.7696176695488,-16.7708323669836,-15.4542066167142,-18.777274433964,-17.0085811942041,-18.0879599232449,-17.2463869921044,-16.5683875962403,-14.794331458748,-17.3365417587548,-16.2539370082003,-18.9389298764968,-13.9900483903445,-15.8133643513486,Hybrid,M_FALSE,-0.74315758666242,1.3442408082727861
AA0094,0.04,F,TRUE,14.7911846945439,-14.899106032573,-13.850588164221,-14.0039612746673,-17.5960552430802,-18.0830054606071,-13.1081439988617,-13.675793333239,-16.456455350785,-13.5641751209523,-13.98003818894,-12.7294550206772,-12.1012534277253,-12.3705162822782,-18.9320089142882,-24.2271654869217,-14.7787450375813,-13.8047173602257,-15.1924314382652,-14.4300572037928,M.m.domesticus,F_TRUE,2.199689842935953,2.8440372113308308
AA0112,0.894736842,M,FALSE,11.3008390644465,-19.5636586073676,-11.2903298591362,-15.1611490720705,-15.8632086331268,-15.2850564928458,-11.9800524331232,-14.2240745272058,-17.4267043852489,-11.9149912986923,-20.1129598647924,-13.7070545893122,-20.4372349013366,-15.438796877435,-17.0790266819153,-13.1725167438507,-14.0854031699029,-13.5420145221472,-15.1323689776995,-10.2722089198793,Hybrid,M_FALSE,0.8011861250524756,2.8150876197261954
AA0120,0.869565217,F,TRUE,8.04770971038444,-17.6215174310539,-14.2547481486985,-18.9602184728387,-22.5892901166188,-16.0215585364936,-13.6802550719402,-17.1259529658901,-17.5813568636363,-16.2239569427864,-14.3323550030246,-15.2445974040419,-14.5815889966534,-13.5162146382255,-18.5501817234923,-16.100624796048,-16.1407266561446,-15.8563091395054,-19.4680320758027,-15.8478877678658,Hybrid,F_TRUE,2.367349935220988,1.666540135113992
AA0121,0.888888889,F,TRUE,7.02521852101229,-17.928600667888,-14.2026053120708,-15.9274035434122,-18.7589681333526,-19.3177077594978,-13.7847142038229,-16.6397871475298,-18.6071390998944,-15.144326944787,-15.537670942956,-14.2235583556515,-13.9393276858749,-12.9177874225533,-15.6062629619701,-18.95426723823,-15.009301223929,-14.859223668539,-18.3642325544614,-14.9476379329964,Hybrid,F_TRUE,2.142367114933008,2.7625126775220554
AA0130,0,F,FALSE,6.75574405063293,-19.705474476723,-17.0160747196993,-16.9535157130354,-13.7139833320945,-13.769240918753,-14.7696176695488,-17.0464023704971,-14.2770423210437,-17.7752630565595,-14.8302588052161,-17.1117885308202,-15.9315077951471,-17.7044690388458,-17.093867137288,-12.7375887458981,-16.9718031244796,-17.3142544171549,-15.6861322682371,-16.6577425211313,M.m.domesticus,F_FALSE,-0.8402578457797751,2.423335589263829
